WKT,direccion,barrio,comuna,materiales,mas_info
POINT (-58.4918774999045 -34.6341466778222),BACACAY 4620,VELEZ SARSFIELD,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4949146604494 -34.6345278765509),BACACAY 4858,VELEZ SARSFIELD,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4972414334223 -34.6348276268053),BACACAY 5020,VILLA LURO,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.500150333568 -34.6352091289259),BACACAY 5210,VILLA LURO,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5026706688526 -34.6355374131688),BACACAY 5410,VILLA LURO,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.505411221947 -34.6358249560641),BACACAY 5606,VILLA LURO,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5181200456309 -34.6303640711524),ALVAREZ JONTE AV. 6083,VERSALLES,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4294437441714 -34.5730527300915),BAEZ 90,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4329091423964 -34.5710735796029),BAEZ 476,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5010210535689 -34.5769707523292),BAZURCO 2360,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5068210739961 -34.5804583372378),BAZURCO 2875,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5140021121577 -34.5850172772142),BAZURCO 3412,VILLA DEVOTO,11,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4896298917088 -34.6207163111463),BAHIA BLANCA 1425,FLORESTA,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4992183792993 -34.5675695562894),BEETHOVEN 3453,VILLA URQUIZA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5199483072852 -34.632565937645),ALVAREZ JONTE AV. 6270,VERSALLES,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5193218182293 -34.6222839808562),BAIGORRIA 5543,MONTE CASTRO,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.426959841755 -34.6361013895499),BALBASTRO 576,PARQUE CHACABUCO,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4287316713657 -34.6364055194567),BALBASTRO 706,PARQUE CHACABUCO,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4333928759939 -34.6371903404933),BALBASTRO 1108,PARQUE CHACABUCO,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.436785388239 -34.637863763112),BALBASTRO 1330,PARQUE CHACABUCO,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4409544147809 -34.6389853584971),BALBASTRO 1605,PARQUE CHACABUCO,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4437206533163 -34.6396657990937),BALBASTRO 1839,PARQUE CHACABUCO,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4475436155737 -34.642422143728),BALBASTRO 2237,FLORES,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4765035667881 -34.668609983066),POLA 3319,VILLA LUGANO,8,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4170934513697 -34.6563079617248),BARCO CENTENERA DEL 3574,NUEVA POMPEYA,4,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5236288968213 -34.6323803539461),BARRAGAN 638,VERSALLES,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5201186107663 -34.6275321212204),ARREGUI AV. 6079,VERSALLES,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5050782757143 -34.6397581535725),BASUALDO 150,VILLA LURO,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.52219312115 -34.6096799000542),BERMUDEZ 3421,VILLA DEVOTO,11,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.502963792931 -34.6414117881734),BASUALDO 332,VILLA LURO,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4746016623798 -34.6028769909466),BIARRITZ 2061,PATERNAL,15,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4758628444432 -34.6046252220259),BIARRITZ 2283,VILLA DEL PARQUE,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4776453091126 -34.6056020737095),BIARRITZ 2437,VILLA DEL PARQUE,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4802115132199 -34.6069888120193),BIARRITZ 2631,VILLA DEL PARQUE,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5005312229435 -34.6432827342225),BASUALDO 532,VILLA LURO,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4972658512633 -34.6459018859781),BASUALDO 860,MATADEROS,9,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4947800231286 -34.6478379044369),BASUALDO 1054,MATADEROS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4926483939633 -34.6494819564991),BASUALDO 1224,MATADEROS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4914206251406 -34.6504323334329),BASUALDO 1360,MATADEROS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4895150456627 -34.6519221321814),BASUALDO 1548,MATADEROS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4870532991272 -34.6538410290251),BASUALDO 1762,MATADEROS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4849772950279 -34.6554604035627),BASUALDO 1930,MATADEROS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4798996226346 -34.6594173226834),BASUALDO 2384,VILLA LUGANO,8,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4779538277761 -34.6609376121386),BASUALDO 2550,VILLA LUGANO,8,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4771914593493 -34.6615146210907),BASUALDO 2606,VILLA LUGANO,8,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4706813267783 -34.6666154963242),BASUALDO 3186,VILLA LUGANO,8,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5236092213338 -34.6282602275408),ARREGUI AV. 6357,VERSALLES,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5285042473193 -34.6119625891274),ASUNCION 5315,VILLA REAL,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5085175649403 -34.6356336267727),BACACAY AV. 5755,VILLA LURO,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4982874081826 -34.6133306428852),BAHIA BLANCA 2261,MONTE CASTRO,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.3943680848791 -34.6140979248867),BELGRANO AV. 1980,BALVANERA,3,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.3970906588992 -34.6142629279577),BELGRANO AV. 2184,BALVANERA,3,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.3999210676193 -34.6144233056116),BELGRANO AV. 2370,BALVANERA,3,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4032646249143 -34.6146281491014),BELGRANO AV. 2616,BALVANERA,3,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4080777452706 -34.6151247817138),BELGRANO AV. 2990,BALVANERA,3,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4091886207715 -34.6152677165054),BELGRANO AV. 3084,BALVANERA,3,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5250909612805 -34.6276195144187),BARRAGAN 982,VERSALLES,10,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4110710649184 -34.5861488633807),BERUTI 3457,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4447638956516 -34.5894423889998),BONPLAND 921,CHACARITA,15,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4158132338644 -34.6102261461572),BILLINGHURST 45,ALMAGRO,5,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4176429662842 -34.6130476043138),BOEDO 145,ALMAGRO,5,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4164931798915 -34.6219836589815),BOEDO AV. 777,BOEDO,5,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4162548241629 -34.6246776371121),BOEDO AV. 931,BOEDO,5,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4160072807178 -34.6304902058025),BOEDO AV. 1417,BOEDO,5,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4162471144125 -34.6347545043751),BOEDO AV. 1753,BOEDO,5,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.475644768674 -34.5900378063983),BUCARELLI 975,PARQUE CHAS,15,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4776959291289 -34.5877935322354),BUCARELLI 1195,PARQUE CHAS,15,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4852746800767 -34.5875547384384),BUCAREST 1439,PARQUE CHAS,15,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5018602010599 -34.5652863721418),BURELA 3657,SAAVEDRA,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.416152307184 -34.6380638677803),BOEDO AV. 2029,BOEDO,5,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4617987958849 -34.6245631235782),BOGOTA 2216,FLORES,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4652459913879 -34.6256186226474),BOGOTA 2472,FLORES,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4678078791633 -34.6264233676251),BOGOTA 2656,FLORES,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4880878617016 -34.6327812778332),BOGOTA 4339,VELEZ SARSFIELD,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4462458653094 -34.6292314132983),PUAN 560,CABALLITO,6,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4406953864391 -34.5863034478609),BONPLAND 1371,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4386198914408 -34.5845386400994),BONPLAND 1549,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4369701908622 -34.5830975193454),BONPLAND 1761,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4361990752083 -34.5824253244032),BONPLAND 1815,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4346985535645 -34.5811100072655),BONPLAND 1991,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4339163175008 -34.5804376808628),BONPLAND 2061,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4324263911634 -34.5791325116894),BONPLAND 2251,PALERMO,14,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5260647330886 -34.6467272191683),BOQUERON 7106,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5000468085331 -34.6511890161512),BRAGADO 5690,MATADEROS,9,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5014595484444 -34.6523854647419),BRAGADO 5810,MATADEROS,9,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5035580178731 -34.6541225099847),BRAGADO 6054,MATADEROS,9,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5052587900084 -34.6555462066196),BRAGADO 6264,MATADEROS,9,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5073157531584 -34.6572624044945),BRAGADO 6540,MATADEROS,9,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5097804600975 -34.6593242498477),BRAGADO 6866,MATADEROS,9,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5113076120768 -34.6606005511638),BRAGADO 7038,MATADEROS,9,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5133775624973 -34.6623130311955),BRAGADO 7296,MATADEROS,9,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.3632932767934 -34.6360501001609),BRANDSEN 657,BOCA,4,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.3669809241633 -34.6370026317077),BRANDSEN 1013,BOCA,4,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4027737167497 -34.6323769005763),BRASIL 2761,PARQUE PATRICIOS,4,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4910221467711 -34.6460193229673),BRUIX AV. 4676,PARQUE AVELLANEDA,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5230499540422 -34.6370285589234),BYNON 6616,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.514820081925 -34.6435576712525),CAAGUAZU 6149,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5162232316197 -34.6448931652468),CAAGUAZU 6276,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5178297556739 -34.6462741076047),CAAGUAZU 6448,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5190717539693 -34.6473429189463),CAAGUAZU 6638,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5203981198888 -34.6484443041464),CAAGUAZU 6835,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.521723360433 -34.6497955615421),CAAGUAZU 7036,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5230452631291 -34.6510332136096),CAAGUAZU 7204,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5238211453909 -34.6517341207453),CAAGUAZU 7308,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5253312203517 -34.6530982289556),CAAGUAZU 7476,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4382884771511 -34.6025220852068),CAMARGO 266,VILLA CRESPO,15,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4394302632704 -34.6011056108186),CAMARGO 413,VILLA CRESPO,15,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4409010623979 -34.5996769140877),CAMARGO 617,VILLA CRESPO,15,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4418828883106 -34.5987944726998),CAMARGO 709,VILLA CRESPO,15,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.462780520925 -34.6037940327902),CAMARONES 1501,VILLA GRAL. MITRE,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4648600738323 -34.6047402172868),CAMARONES 1652,VILLA GRAL. MITRE,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4673788175573 -34.6058700700489),CAMARONES 1850,VILLA GRAL. MITRE,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4714074441918 -34.607613486787),CAMARONES 2150,VILLA GRAL. MITRE,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4763311344932 -34.6101963261759),CAMARONES 2564,VILLA GRAL. MITRE,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4785384656988 -34.6113627619858),CAMARONES 2736,VILLA SANTA RITA,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4808263040533 -34.6124808103375),CAMARONES 2905,VILLA SANTA RITA,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4838731329692 -34.6140846300837),CAMARONES 3153,VILLA SANTA RITA,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4886722592858 -34.6169495763108),CAMARONES 3574,VILLA SANTA RITA,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4898435455997 -34.6179510892491),CAMARONES 3712,VILLA SANTA RITA,11,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4079993601833 -34.581637141243),CABELLO 3322,PALERMO,14,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4133136123654 -34.5799789377814),CABELLO 3826,PALERMO,14,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4569819528115 -34.56151173734),CABILDO AV. 2151,BELGRANO,13,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4595558063842 -34.5585162237753),CABILDO AV. 2475,BELGRANO,13,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4646870420862 -34.5530545907993),CABILDO AV. 3151,NUÑEZ,13,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4682225085442 -34.5486726918613),CABILDO AV. 3723,NUÑEZ,13,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4733454642985 -34.5418962455825),CABILDO AV. 4633,NUÑEZ,13,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4752377057809 -34.5394836902304),CABILDO AV. 4989,NUÑEZ,13,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5018660506738 -34.5956608213357),CAMPANA 3857,VILLA DEVOTO,11,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.5039919503593 -34.5933167097282),CAMPANA 4199,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5079930734254 -34.5888931710537),CAMPANA 4781,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5116130120953 -34.5848905711094),CAMPANA 5291,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.512919572027 -34.583445105394),CAMPANA 5467,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.514473550607 -34.5816554490592),CAMPANA 5691,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4750178379982 -34.5873729633875),CAMPILLO 2728,PARQUE CHAS,15,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4761790675483 -34.5882406041491),CAMPILLO 2822,PARQUE CHAS,15,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4782790190894 -34.5898302006508),CAMPILLO 3074,PARQUE CHAS,15,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.3617347911097 -34.6268755716899),CABOTO 256,BOCA,4,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4117195878039 -34.6502099747878),CACHI 617,NUEVA POMPEYA,4,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4383942799006 -34.632636295976),ESTRADA 980,PARQUE CHACABUCO,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5143993469973 -34.6494287332714),CAFAYATE 1011,LINIERS,9,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.477379714919 -34.6780999790796),CAFAYATE 4155,VILLA LUGANO,8,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4758771114304 -34.679159425779),CAFAYATE 4306,VILLA LUGANO,8,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4742101415362 -34.6804508235483),CAFAYATE 4458,VILLA LUGANO,8,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4724983245694 -34.6817716720246),CAFAYATE 4630,VILLA LUGANO,8,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4848431742652 -34.6386138996074),CAJARAVILLA 4180,VELEZ SARSFIELD,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4876808512069 -34.5905270720389),CARACAS 3525,AGRONOMIA,15,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4932792129167 -34.5844661074467),CARACAS 4396,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4966775763463 -34.5805986210907),CARACAS 4877,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4981960377575 -34.5789197818592),CARACAS 5093,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5013327406627 -34.5754547075338),CARACAS 5517,VILLA PUEYRREDON,12,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4876148234023 -34.6394416279809),CAJARAVILLA 4352,VELEZ SARSFIELD,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4908254627407 -34.6401127263974),CAJARAVILLA 4568,VILLA LURO,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4941702241326 -34.6405678160533),CAJARAVILLA 4786,VILLA LURO,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4963182096265 -34.6408735184926),CAJARAVILLA 4950,VILLA LURO,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.499211740855 -34.641264882344),CAJARAVILLA 5150,VILLA LURO,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4644155432582 -34.587435863201),CALDAS 1331,VILLA ORTUZAR,15,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4676304010094 -34.5850836472249),CALDAS 1619,VILLA ORTUZAR,15,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.3621206325472 -34.6446475874623),CALIFORNIA 894,BOCA,4,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.376603489335 -34.6476458447575),CALIFORNIA 2086,BARRACAS,4,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.3819823402336 -34.648886041854),CALIFORNIA 2507,BARRACAS,4,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.3850929667054 -34.6495085978971),CALIFORNIA 2766,BARRACAS,4,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.3996109604626 -34.62163413242),MATHEU 1070,SAN CRISTOBAL,3,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4562732444855 -34.5997952958306),CASAFOUST 744,VILLA CRESPO,15,Papel / Cartón,Los materiales deben estar limpios y secos
POINT (-58.4568111697554 -34.6315320873982),CAMACUA 340,FLORES,7,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4906474646942 -34.6186340475815),CAMARONES 3814,FLORESTA,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4940316182939 -34.6214667056263),CAMARONES 4192,FLORESTA,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4955465731893 -34.6227239153179),CAMARONES 4354,FLORESTA,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4977024530508 -34.6239299724748),CAMARONES 4574,VELEZ SARSFIELD,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.4999187635171 -34.6248149340546),CAMARONES 4749,VELEZ SARSFIELD,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5021609007053 -34.6261856248129),CAMARONES 4950,VELEZ SARSFIELD,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5042399227295 -34.6280669472855),CAMARONES 5120,VELEZ SARSFIELD,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5058789479396 -34.6295471155804),CAMARONES 5264,VILLA LURO,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5073918517833 -34.630910830622),CAMARONES 5416,VILLA LURO,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5092417995176 -34.6325668241908),CAMARONES 5606,VILLA LURO,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
POINT (-58.5110501696521 -34.6341801468298),CAMARONES 5864,VERSALLES,10,Papel / Cartón / Plástico / Metal / Vidrio,Los materiales deben estar limpios y secos
