ID,OBJETO_OBRA,CANTIDAD_OBJETOS,MATERIAL,DENOMINACION_SIMBOLIZA,AUTORES,UBICACION,OBSERVACIONES,DIRECCION_NORMALIZADA,CALLE,ALTURA,BARRIO,COMUNA,CODIGA_POSTAL,CODIGO_POSTAL_ARGENTINO,LATITUD,LONGITUD,,,,,,,
1157,ESTATUA,1,MARMOL,GLADIADOR BORGHESE,REPRODUCCION,PASEO REPUBLICA DE FILIPINAS,PASEO REPUBLICA DE FILIPINAS,DE LOS INCAS AV. Y FOREST AV.,DE LOS INCAS AV.,,,COMUNA 13,,,-34.57510296,-58.46318821,,,,,,,
1158,ESTATUA,1,PIEDRA,VENUS,REPRODUCCION,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,,
1159,ESTATUA,1,PIEDRA,PLINIO,REPRODUCCION,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,,
1160,ESTATUA,1,MARMOL,AMAZONA,REPRODUCCION,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,,
1161,ESTATUA,1,MARMOL,VENUS DE COLCA,REPRODUCCION,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,,
1165,ESTATUA,1,MARMOL,BA?ISTA,REPRODUCCION,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,,
1168,BASE,1,MAMPOSTERIA,SUSTENTACION BUSTO 1775,D.G.M,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1169,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,NOMENCLATURA OBRA 1775,D.G.M,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1170,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A BALLET NACIONAL,D.G.O.M.,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1171,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. AL ARBOL,D.G.O.M.,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1172,PLACA,1,FIBROCEMENTO,HJE. A HIDALGO Y COSTILLA,DIRECCION DE PASEOS Y M.O.A,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1173,BASE (P/CUAD. SOLAR,1,MARMOL,MOTIVO DECORATIVO,E.A.I.M.,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1175,ESTATUA,1,MARMOL,LA PRIMAVERA,REPRODUCCION,PARQUE LEZAMA,PARQUE LEZAMA,PASEO COLON AV. 1503,PASEO COLON AV.,1503,BOCA,COMUNA 4,1063,C1063ADC,-34.62520922,-58.36797836,,,,,,,
1176,ESTATUA,1,MARMOL,MUJER GRIEGA,REPRODUCCION,PARQUE LEZAMA,PARQUE LEZAMA,PASEO COLON AV. 1503,PASEO COLON AV.,1503,BOCA,COMUNA 4,1063,C1063ADC,-34.62520922,-58.36797836,,,,,,,
1178,FIGURA,1,MARMOL,LEON,REPRODUCCION,PZTA CAMPAÑA DEL CHACO,PZTA CAMPA?A DEL CHACO,CALABRIA AV. Y RAWSON DE DELLEPIANE, ELVIRA AV.,CALABRIA AV.,,PUERTO MADERO,COMUNA 1,,,-34.61924937,-58.35771158,,,,,,
1179,FIGURA,1,MARMOL,LEONA,REPRODUCCION,PZTA CAMPAÑA DEL CHACO,PZTA CAMPA?A DEL CHACO,CALABRIA AV. Y RAWSON DE DELLEPIANE, ELVIRA AV.,CALABRIA AV.,,PUERTO MADERO,COMUNA 1,,,-34.61924937,-58.35771158,,,,,,
1180,ESTATUA,1,GRANITO,CHOLITA,REYES, FRANCISCO,AV BOEDO 853,AV BOEDO 853,BOEDO AV. 853,BOEDO AV.,853,BOEDO,COMUNA 5,1218,C1218AAE,-34.62324764,-58.41637621,,,,,,
1182,BUSTO,1,MARMOL,DR. CARLOS A. PUEYRREDON,REYES, FRANCISCO,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
1185,MONUMENTO,1,BRONCE,FLORENCIO PARRAVICINI,FIORAVANTI, JOSE,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,
1186,BUSTO,1,BRONCE,JULIAN AGUIRRE,RIGANELLI, AGUSTIN,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
1188,BUSTO,1,BRONCE,DR. ROMULO S. NAON,IBARRA GARCIA, ANGEL,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,
1189,MONUMENTO,1,CEMENTO BLANCO,SOLDADO PATRICIO,ROBERTI, JUAN,PARQUE DE LOS PATRICIOS,PARQUE DE LOS PATRICIOS,CASEROS AV. Y MONTEAGUDO,CASEROS AV.,,PARQUE PATRICIOS,COMUNA 4,,,-34.63711738,-58.40561079,,,,,,
1190,PLACA,1,CEMENTO PATINADO,NOMENCLATURA OBRA 1287,M.O.A.,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1192,BUSTO Y BASE,1,BRONCE Y MAMPOSTERIA,JOSE J. PODESTA,PERLOTI, LUIS,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,
1197,BUSTO Y BASE,1,PIEDRA,MIGUEL HERNANDEZ,RODRIGUEZ, MANUEL,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
1199,ESTATUA,1,MARMOL,DESPEÑAR INTIMO,ROSSELLI, VICENTE,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
1202,BUSTO,1,BRONCE,GUILLERMO RAWSON,ROSSI, A. F,HOSPITAL MUNICIPAL RAWSON,HOSPITAL MUNICIPAL RAWSON,ALCORTA, AMANCIO AV. 1502,ALCORTA, AMANCIO AV.,1502,BARRACAS,COMUNA 4,1283,C1283AAO,-34.63464909,-58.38466646,,,,
1203,PLACA,1,BRONCE,HJE. ANIVERSARIO POLICLINICO,ROSSI, G.,HOSPITAL MUNICIPAL ALVAREZ,HOSPITAL MUNICIPAL ALVAREZ,ARANGUREN, JUAN F., DR. 2701,ARANGUREN, JUAN F., DR.,2701,FLORES,COMUNA 7,1406,C1406FWY,-34.62429216,-58.46942184,,
1204,BUSTO,1,MARMOL,LUIS MARIA CANTILO,ROVATTI, LUIS CARLOS,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
1206,ESTATUA,1,BRONCE,VICTORIA ALADA,RUBINO, EDUARDO,PARQUE DEL CENTENARIO,PARQUE DEL CENTENARIO,GALLARDO, ANGEL AV. Y RIO DE JANEIRO,GALLARDO, ANGEL AV.,,,COMUNA 15,,,-34.60266947,-58.43333705,,,,
1209,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,NOMENCLATURA DE PLAZA,,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1212,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. AL EMPERADOR ULPIO TRAJANO,,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1213,ESTATUA,1,MARMOL,GLADIADOR HERIDO,SANTIANO, CESAR,PARQUE ESPAÑA,PARQUE ESPAÑA,BAIGORRI Y CASEROS AV.,BAIGORRI,,BARRACAS,COMUNA 4,,,-34.63334965,-58.38727373,,,,,,
1214,MONUMENTO,1,GRANITO Y BRONCE,HJE. A JUAN B. JUSTO,SARACENO M.-SOTO AVENDA?,CERVIÑO Y BULLRICH,CERVIÑO Y BULLRICH,CERVIÑO AV. Y BULLRICH, INT. AV.,CERVIÑO AV.,,PALERMO,COMUNA 14,,,-34.57455373,-58.42499142,,,,,,
1217,FIGURA,1,BRONCE,YAGUARETE,SARNIGUET, EMILIO J. A.,PARQUE CHACABUCO,PARQUE CHACABUCO,PERON, EVA AV. 1410,PERON, EVA AV.,1410,PARQUE CHACABUCO,COMUNA 7,1406,C1406HMP,-34.63290276,-58.44476252,,,,
1218,ESTATUA,1,BRONCE,EN MARCHA,SASSONE, ANTONIO,PZTA MIGUEL ABUELO,PZTA MIGUEL ABUELO,CABILDO AV. Y SANTA FE AV.,CABILDO AV.,,PALERMO,COMUNA 14,,,-34.57499709,-58.43544785,,,,,,
1223,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. AL DR. ROMULO S. NAON,,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1224,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. AL CAPITAN ABDON CALDERON,,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1226,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. REVOLUCION DE 1890,,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1227,BUSTO,1,BRONCE,OLEGARIO VICTOR ANDRADE,SEMPERE, CLAUDIO,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
1228,FUENTE,1,MAMPOSTERIA,MOTIVO DECORATIVO,SENESE-CAMPBELL,SUIPACHA 120,SUIPACHA 120,SUIPACHA 120,SUIPACHA,120,SAN NICOLAS,COMUNA 1,1008,C1008AAD,-34.6069191,-58.37932806,,,,,,,
1232,BUSTO,1,MARMOL,PEDRO BOLLINI,SFORZA, CESAR,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
1233,BUSTO,1,MARMOL,JUAN B. BARNETCHE,SFORZA, CESAR,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
1243,JARRON,4,HIERRO FUNDIDO,MOTIVO DECORATIVO,,PLAZA LAVALLE,PLAZA LAVALLE,CORRIENTES AV. 1145,CORRIENTES AV.,1145,SAN NICOLAS,COMUNA 1,1043,C1043AAL,-34.60369423,-58.38292045,,,,,,,
1245,MONUMENTO,1,BRONCE Y GRANITO,LUIS VIALE,TABACHI, EDUARDO,PARQUE BALNEARIO SUR,PARQUE BALNEARIO SUR,PAZ, GRAL. AV. 16802,PAZ, GRAL. AV.,16802,,COMUNA 8,1439,C1439HNO,-34.69801445,-58.46981073,,,,
1246,MONUMENTO,1,PIEDRA E HIERRO,CRUCEIRO,TALLERES DE LA CORU?A,PARQUE LEZAMA,PARQUE LEZAMA,PASEO COLON AV. 1503,PASEO COLON AV.,1503,BOCA,COMUNA 4,1063,C1063ADC,-34.62520922,-58.36797836,,,,,,,
1249,BUSTO,1,BRONCE,CNEL. JUAN AMADEO BALDRICH,TASSO, TORCUATO,PARQUE DEL CENTENARIO,PARQUE DEL CENTENARIO,GALLARDO, ANGEL AV. Y RIO DE JANEIRO,GALLARDO, ANGEL AV.,,,COMUNA 15,,,-34.60266947,-58.43333705,,,,
1256,BUSTO,1,BRONCE,PROFESOR ANTONIO RIZZUTO,CHIERICO, SANTIAGO,PLAZA LIBERTAD,PLAZA LIBERTAD,LIBERTAD 909,LIBERTAD,909,RETIRO,COMUNA 1,1012,C1012AAS,-34.59798117,-58.38410711,,,,,,
1262,BUSTO,1,CEMENTO PATINADO,PROFESOR ANTONIO RIZZUTO,RAMIREZ, GABRIEL-MOA,PLAZA LIBERTAD,PLAZA LIBERTAD,LIBERTAD 909,LIBERTAD,909,RETIRO,COMUNA 1,1012,C1012AAS,-34.59798117,-58.38410711,,,,,,
1266,MONUMENTO,1,CEMENTO PATINADO,MADRE TERESA DE CALCUTA,TOTO, CARLOS MARIA,HOSPITAL MUNICIPAL MUÑIZ,HOSPITAL MUNICIPAL MUÑIZ,USPALLATA 2272,USPALLATA,2272,PARQUE PATRICIOS,COMUNA 4,1282,C1282AEN,-34.63721751,-58.39299957,,,,,,
1267,MONUMENTO,1,CEMENTO PATINADO,MADRE TERESA DE CALCUTA,TOTO, CARLOS MARIA,PARQUE LEZAMA,PARQUE LEZAMA,PASEO COLON AV. 1503,PASEO COLON AV.,1503,BOCA,COMUNA 4,1063,C1063ADC,-34.62520922,-58.36797836,,,,,,
1268,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE.AL DR.ADOLFO ALSINA,,PLAZA LIBERTAD,PLAZA LIBERTAD,LIBERTAD 909,LIBERTAD,909,RETIRO,COMUNA 1,1012,C1012AAS,-34.59798117,-58.38410711,,,,,,,
1269,BUSTO,1,MARMOL RECONSTITUIDO,DR. ANTONIO F. OZANAM,TOTO, CARLOS MARIA,PARQUE CHACABUCO,PARQUE CHACABUCO,PERON, EVA AV. 1410,PERON, EVA AV.,1410,PARQUE CHACABUCO,COMUNA 7,1406,C1406HMP,-34.63290276,-58.44476252,,,,
1270,MONUMENTO,1,BRONCE Y GRANITO,JOSE MANUEL ESTRADA,ROCHA, HECTOR,PLAZA LOREA,PLAZA LOREA,DE MAYO AV. Y SAENZ PEÑA, LUIS, PRES.,DE MAYO AV.,,MONSERRAT,COMUNA 1,,,-34.60945102,-58.38729382,,,,
1271,PIEDRA FUNDAMENTAL,1,GRANITO,PRO MONUMENTO A ESTRADA,,PLAZA LOREA,PLAZA LOREA,DE MAYO AV. Y SAENZ PEÑA, LUIS, PRES.,DE MAYO AV.,,MONSERRAT,COMUNA 1,,,-34.60945102,-58.38729382,,,,,
1272,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A JOSE MANUEL ESTRADA,,PLAZA LOREA,PLAZA LOREA,DE MAYO AV. Y SAENZ PEÑA, LUIS, PRES.,DE MAYO AV.,,MONSERRAT,COMUNA 1,,,-34.60945102,-58.38729382,,,,,
1273,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A DON MANUEL ESTRADA,,PLAZA LOREA,PLAZA LOREA,DE MAYO AV. Y SAENZ PEÑA, LUIS, PRES.,DE MAYO AV.,,MONSERRAT,COMUNA 1,,,-34.60945102,-58.38729382,,,,,
1274,MONUMENTO,1,CEMENTO PATINADO,DN. SANTIAGO DE LINIERS Y BREMOND,TOTO, CARLOS MARIA,PZTA SAN NICOLAS,PZTA SAN NICOLAS,CORRIENTES AV. Y RECONQUISTA,CORRIENTES AV.,,SAN NICOLAS,COMUNA 1,,,-34.60314262,-58.37246811,,,,,,
1275,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE.AL PERIODISMO,,PLAZA LOREA,PLAZA LOREA,DE MAYO AV. Y SAENZ PEÑA, LUIS, PRES.,DE MAYO AV.,,MONSERRAT,COMUNA 1,,,-34.60945102,-58.38729382,,,,,
1276,BUSTO,1,MARMOL,ALBERTO CASARES,TRINCHERO, LUIS,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
1279,MONUMENTO,1,MARMOL,PAUL GROUSSAC,TROIANI, TROIANO,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
1280,BUSTO,1,BRONCE,DR. INCHAUSPE,TROIANI, TROIANO,HOSPITAL MUNICIPAL RAMOS MEJIA,HOSPITAL MUNICIPAL RAMOS MEJIA,URQUIZA, GRAL. 609,URQUIZA, GRAL.,609,BALVANERA,COMUNA 3,1221,C1221ADC,-34.61762051,-58.40940032,,,,
1281,BUSTO,1,BRONCE,ANTONIO ZACCAGNINI,TROIANI, TROIANO,PARQUE AVELLANEDA,PARQUE AVELLANEDA,DIRECTORIO AV. Y LACARRA,DIRECTORIO AV.,,,COMUNA 9,,,-34.64129755,-58.47992772,,,,,,
1282,BUSTO,1,BRONCE,DANTE ALIGHIERI,TROIANI, TROIANO,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
1284,PLACA,1,MARMOL,HJE. A MANUEL MUJICA LAINEZ,,PLAZA MANUEL MUJICA LAINEZ,PLAZA MANUEL MUJICA LAINEZ,LOPEZ, VICENTE Y JUNIN,LOPEZ, VICENTE,,RECOLETA,COMUNA 2,,,-34.58921468,-58.39299596,,,,,
1285,MASTIL,1,HIERRO Y MAMPOSTERIA,HOMENAJE A LA BANDERA,D.A.O.M.,PLAZA MARCOS SASTRE,PLAZA MARCOS SASTRE,MONROE 4600,MONROE,4600,VILLA URQUIZA,COMUNA 12,1431,C1431CAB,-34.57113566,-58.48076677,,,,,,,
1286,TEMPLETE,1,MAMPOSTERIA,VIRGEN DE LUJAN,LURASCHI, ERNESTO,PLAZA MARCOS SASTRE,PLAZA MARCOS SASTRE,MONROE 4600,MONROE,4600,VILLA URQUIZA,COMUNA 12,1431,C1431CAB,-34.57113566,-58.48076677,,,,,,
1294,BUSTO,1,BRONCE,GRL. SAN MARTINN,VERGOTTINI, JULIO CESAR,AV MONTES DE OCA 802,AV MONTES DE OCA 802,MONTES DE OCA, MANUEL AV. 802,MONTES DE OCA, MANUEL AV.,802,BARRACAS,COMUNA 4,1270,C1270AAV,-34.6379197,-58.37461816,,,,
1295,MASTIL,1,BRONCE Y MARMOL,IZANDO LA BANDERA,VERGOTTINI, JULIO CESAR,AV MONTES DE OCA 802,AV MONTES DE OCA 802,MONTES DE OCA, MANUEL AV. 802,MONTES DE OCA, MANUEL AV.,802,BARRACAS,COMUNA 4,1270,C1270AAV,-34.6379197,-58.37461816,,,,
1296,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A LA CONSTITUCION NACIONAL,,PLAZA MARIANO MORENO,PLAZA MARIANO MORENO,DE MAYO AV. 1500,DE MAYO AV.,1500,MONSERRAT,COMUNA 1,1085,C1085ABR,-34.60949143,-58.38673113,,,,,,,
1297,FIGURA,1,BRONCE,ALAS DE LA PATRIA,VILADRICH, WILFREDO,AV ANTARTIDA ARG Y LOS INMIGRANTES,AV ANTARTIDA ARG Y LOS INMIGRANTES,ANTARTIDA ARGENTINA AV. Y DE LOS INMIGRANTES AV.,ANTARTIDA ARGENTINA AV.,,,COMUNA 1,,,-34.58737618,-58.37184582,,,,,,
1299,ESTATUA,1,RESINA POLIESTER,TANGO INTIMO,VINCI, LEO,AV BOEDO 987,AV BOEDO 987,BOEDO AV. 987,BOEDO AV.,987,BOEDO,COMUNA 5,1218,C1218AAF,-34.62523086,-58.41621414,,,,,,
1300,BUSTO,1,MARMOL,LUIS M. DE LA TORRE CAMPOS,VINCI, LEO,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
1303,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A MARIANO MORENO,,PLAZA MARIANO MORENO,PLAZA MARIANO MORENO,DE MAYO AV. 1500,DE MAYO AV.,1500,MONSERRAT,COMUNA 1,1085,C1085ABR,-34.60949143,-58.38673113,,,,,,,
1304,BUSTO,1,MARMOL,JORGE SABATE,VOZZO, HILARIO,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
1305,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A MARIANO MORENO,,PLAZA MARIANO MORENO,PLAZA MARIANO MORENO,DE MAYO AV. 1500,DE MAYO AV.,1500,MONSERRAT,COMUNA 1,1085,C1085ABR,-34.60949143,-58.38673113,,,,,,,
1311,MONUMENTO,1,MARMOL,CRISTOBAL COLON,ZOCCHI, ARNALDO,PARQUE COLON SUR,PARQUE COLON SUR,PASEO COLON AV. Y YRIGOYEN, HIPOLITO AV.,PASEO COLON AV.,,,COMUNA 1,,,-34.6088315,-58.3696578,,,,,
1312,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,NOMENCLATURA DE PLAZA,D.A.O.M.,PLAZA MARTIN DE ALZAGA,PLAZA MARTIN DE ALZAGA,DORREGO AV. 80,DORREGO AV.,80,CHACARITA,COMUNA 15,1414,C1414CJN,-34.59740703,-58.4550354,,,,,,,
1313,GRUPO ESCULTORICO,1,BRONCE,RESURRECCION DE CRISTO,ZONZA BRIANO, PEDRO,CEMENTERIO DE LA RECOLETA,CEMENTERIO DE LA RECOLETA,JUNIN 1760,JUNIN,1760,RECOLETA,COMUNA 2,1113,C1113AAT,-34.58813529,-58.39238435,,,,,,
1314,ESTATUA,1,BRONCE,FLOR DE JUVENTUD,ZONZA BRIANO, PEDRO,JARDIN DE LOS POETAS,JARDIN DE LOS POETAS,ISABEL, INFANTA AV. 900,ISABEL, INFANTA AV.,900,,COMUNA 14,1425,C1425CHA,-34.5700668,-58.42048287,,,,
1315,MONUMENTO,1,BRONCE Y PIEDRA,LEANDRO N. ALEM,ZONZA BRIANO, PEDRO,PZTA AZUCENA MAIZANI,PZTA AZUCENA MAIZANI,DEL LIBERTADOR AV. Y RAMOS MEJIA, JOSE MARIA, DR. AV.,DEL LIBERTADOR AV.,,,COMUNA 1,,,-34.59265225,-58.37544732,,,,
1318,MONUMENTO,1,BRONCE Y MARMOL,FRANKLIN DELANO ROOSEVELT,FIORAVANTI, JOSE,PLAZA MARTIN DE ALZAGA,PLAZA MARTIN DE ALZAGA,DORREGO AV. 80,DORREGO AV.,80,CHACARITA,COMUNA 15,1414,C1414CJN,-34.59740703,-58.4550354,,,,,,
1322,BUSTO,1,YESO,GRL. SAN MARTINN,,HOSPITAL SANTOJANNI,HOSPITAL SANTOJANNI,PILAR 950,PILAR,950,LINIERS,COMUNA 9,1408,C1408INH,-34.64935338,-58.51580056,,,,,,,
1323,ANTENA Y MASTIL,1,HIERRO,HJE. A LA BANDERA,,VIEYTES Y OLAVARRIA,VIEYTES Y OLAVARRIA,VIEYTES Y OLAVARRIA,VIEYTES,,BARRACAS,COMUNA 4,,,-34.64294952,-58.37941619,,,,,,,
1328,JARRON Y BASE,1,CEMENTO PATINADO,MOTIVO DECORATIVO,,AV CORONEL ROCA,AV CORONEL ROCA,ROCA, CNEL. AV. 5025,ROCA, CNEL. AV.,5025,,COMUNA 8,,,-34.68204383,-58.45289656,,,,,
1330,FUENTE,2,MAMPOSTERIA,MOTIVOS DECORATIVOS,,JARDIN BOTANICO,JARDIN BOTANICO,SANTA FE AV. 3951,SANTA FE AV.,3951,PALERMO,COMUNA 14,1425,C1425BHB,-34.58373108,-58.41788399,,,,,,,
1331,MASTIL,1,HIERRO Y MAMPOSTERIA,HOMENAJE A LA BANDERA,,HOSPITAL SANTOJANNI,HOSPITAL SANTOJANNI,PILAR 950,PILAR,950,LINIERS,COMUNA 9,1408,C1408INH,-34.64935338,-58.51580056,,,,,,,
1333,PLACA,1,BRONCE,HJE. 150° ANIV. REVOLUCION DE MAYO,,BIBLIOTECA EL PROGRESO,BIBLIOTECA EL PROGRESO,RIESTRA AV. 5655,RIESTRA AV.,5655,VILLA LUGANO,COMUNA 8,1439,C1439BYH,-34.67680479,-58.47495722,,,,,,,
1336,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. A JOSE HERNANDEZ,D.G.O.M.,PLAZA MARTIN FIERRO,PLAZA MARTIN FIERRO,LA RIOJA 1301,LA RIOJA,1301,SAN CRISTOBAL,COMUNA 3,1244,C1244ABC,-34.62601717,-58.40694298,,,,,,,
1340,ANFORA,2,TERRACOTA,MOTIVO DECORATIVO,,JARDIN ZOOLOGICO,JARDIN ZOOLOGICO,SARMIENTO 2601,SARMIENTO,2601,BALVANERA,COMUNA 3,1045,C1045ABC,-34.60634337,-58.40364251,,,,,,,
1341,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. PLANTACION DEL OMBU,NANNI, A.,PLAZA MARTIN FIERRO,PLAZA MARTIN FIERRO,LA RIOJA 1301,LA RIOJA,1301,SAN CRISTOBAL,COMUNA 3,1244,C1244ABC,-34.62601717,-58.40694298,,,,,,
1343,BALAS,1,HIERRO FUNDIDO,MOTIVO DECORATIVO,,PZTA CANDIDO DE LASALA,PZTA CANDIDO DE LASALA,SANTA FE AV. 716,SANTA FE AV.,716,,COMUNA 1,1059,C1059ABO,-34.59555568,-58.37733098,,,,,,,
